사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2025-12-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
펀드코드,펀드명,운용회사명,수익률(10Y),수익률(7Y),수익률(5Y),수익률(3Y),수익률(1Y),수익률(6M),BM수익률(10Y),BM수익률(7Y),BM수익률(5Y),BM수익률(3Y),BM수익률(1Y),BM수익률(6M),위험등급,비율(%),1년투자비용(원),순자산총액(억원),설정일,계열사 여부,비고,,,
K55105EC1749,삼성KODEXAI전력핵심설비증권상장지수투자신탁[주식],삼성운용,,,,,171.97,91.58,,,,,70.23,54.05,2등급(높은 위험),0.46,"4,600","10,078",20240708,,ETF,,,
K55232DU8475,NH-AmundiHANARO원자력iSelect증권상장지수투자신탁(주식),NH-Amundi운용,,,,67.66,168.37,80.45,,,,19.95,70.23,54.05,2등급(높은 위험),0.52,"5,200","4,916",20220627,,ETF,,,
K55232EE1347,NH-AmundiHANARO전력설비투자증권상장지수투자신탁(주식),NH-Amundi운용,,,,,166.06,90.15,,,,,70.23,54.05,2등급(높은 위험),0.44,"4,400",761,20240923,,ETF,,,
K55213DZ4142,한화PLUSK방산증권상장지수투자신탁(주식),한화운용,,,,,161.18,18.07,,,,,70.23,54.05,2등급(높은 위험),0.51,"5,100","11,202",20230104,,ETF,,,
KR5225A18083,미래에셋TIGER200중공업증권상장지수투자신탁(주식),미래에셋운용,18.33,23.25,37.18,65.15,152.04,51.96,16.99,22.38,36.65,65.22,151.82,52.39,1등급(매우 높은 위험),0.43,"4,300","4,374",20110405,계열사,ETF,,,
K55213E13359,한화PLUS태양광&ESS증권상장지수투자신탁(주식),한화운용,,,,,146.63,53.50,,,,,70.23,54.05,2등급(높은 위험),0.52,"5,200",310,20230619,,ETF,,,
K55223DB4882,KBRISEFn5G테크증권상장지수투자신탁(주식),KB운용,,,14.55,38.05,141.69,107.35,,,9.87,19.95,70.23,54.05,1등급(매우 높은 위험),0.51,"5,100",721,20201028,,ETF,,,
K55210E84646,신한SOL반도체후공정증권상장지수투자신탁[주식],신한자산운용,,,,,141.29,92.14,,,,,70.23,54.05,2등급(높은 위험),0.53,"5,300",272,20240213,,ETF,,,
K55373EF1006,현대UNICORNSK하이닉스밸류체인액티브증권상장지수투자신탁[주식],현대자산운용,,,,,139.26,90.45,,,,,70.23,54.05,2등급(높은 위험),0.59,"5,900",549,20241106,,ETF,,,
K55301E34424,미래에셋TIGERK방산&우주증권상장지수투자신탁(주식),미래에셋운용,,,,,138.57,14.60,,,,,70.23,54.05,2등급(높은 위험),0.51,"5,100","2,388",20230724,계열사,ETF,,,
K55213DW6843,한화PLUS글로벌HBM반도체증권상장지수투자신탁(주식),한화운용,,,,52.23,135.15,113.25,,,,32.72,25.94,25.27,1등급(매우 높은 위험),0.70,"7,000",419,20220920,,ETF,,,
K55107E85195,우리WON반도체밸류체인액티브증권상장지수투자신탁(주식),우리운용,,,,,134.93,94.86,,,,,70.23,54.05,2등급(높은 위험),0.37,"3,700",864,20240115,,ETF,,,
K55301EE9692,미래에셋TIGER조선TOP10증권상장지수투자신탁(주식),미래에셋운용,,,,,134.37,34.15,,,,,70.23,54.05,2등급(높은 위험),0.41,"4,100","7,286",20241021,계열사,ETF,,,
K55232E17012,NH-AmundiHANAROCAPEX설비투자iSelect증권상장지수투자신탁(주식),NH-Amundi운용,,,,,133.97,67.68,,,,,54.50,23.10,2등급(높은 위험),0.52,"5,200",867,20230417,,ETF,,,
K55210E57725,신한SOL조선TOP3플러스증권상장지수투자신탁[주식],신한자산운용,,,,,132.76,31.48,,,,,95.13,53.56,2등급(높은 위험),0.51,"5,100","18,741",20231004,,ETF,,,
K55210EE0741,신한SOLK방산증권상장지수투자신탁[주식],신한자산운용,,,,,130.61,18.89,,,,,70.23,54.05,2등급(높은 위험),0.53,"5,300",854,20240930,,ETF,,,
K55101DU0363,한국투자ACE원자력TOP10증권상장지수투자신탁(주식),한국투자신탁운용,,,,54.84,129.52,59.68,,,,19.95,70.23,54.05,2등급(높은 위험),0.35,"3,500","1,095",20220627,,ETF,,,
K55232E64931,NH-AmundiHANARO글로벌금채굴기업증권상장지수투자신탁[주식],NH-Amundi운용,,,,,128.59,71.08,,,,,10.95,13.82,2등급(높은 위험),0.67,"6,700",612,20240116,,ETF,,,
K55301DE7374,미래에셋TIGERFn신재생에너지증권상장지수투자신탁(주식),미래에셋운용,,,,21.81,126.89,64.59,,,,19.95,70.23,54.05,1등급(매우 높은 위험),0.56,"5,600",737,20210304,계열사,ETF,,,
K55232DL2867,NH-AmundiHANAROFnK-반도체증권상장지수투자신탁(주식),NH-Amundi운용,,,,35.73,125.81,96.84,,,,19.95,70.23,54.05,1등급(매우 높은 위험),0.51,"5,100","9,504",20210729,,ETF,,,
K55301E68232,미래에셋TIGER코리아테크액티브증권상장지수투자신탁(주식),미래에셋운용,,,,,123.94,102.99,,,,,70.23,54.05,2등급(높은 위험),0.79,"7,900",261,20231124,계열사,ETF,,,
K55105E71488,삼성KODEXAI반도체핵심장비증권상장지수투자신탁[주식],삼성운용,,,,,122.91,100.06,,,,,70.23,54.05,2등급(높은 위험),0.44,"4,400","2,143",20231120,,ETF,,,
K55105DI5372,삼성KODEXAI반도체증권상장지수투자신탁[주식],삼성운용,,,,32.28,122.28,93.46,,,,19.95,70.23,54.05,1등급(매우 높은 위험),0.51,"5,100","7,862",20210729,,ETF,,,
K55210DX6936,신한SOL코리아메가테크액티브증권상장지수투자신탁[주식],신한자산운용,,,,39.95,116.52,61.66,,,,19.95,70.23,54.05,2등급(높은 위험),0.63,"6,300","3,209",20221017,,ETF,,,
K55101E67600,한국투자ACEAI반도체포커스증권상장지수투자신탁(주식),한국투자신탁운용,,,,,115.80,87.52,,,,,70.23,54.05,2등급(높은 위험),0.36,"3,600","1,165",20231016,,ETF,,,
K55301CW6508,미래에셋코어테크증권자투자신탁(주식)종류C-P2e,미래에셋운용,,,13.08,20.88,113.90,82.96,,,9.87,19.95,70.23,54.05,1등급(매우 높은 위험),1.07,"10,700","1,490",20191023,계열사,,,,
K55105DW7461,삼성KODEX친환경조선해운액티브증권상장지수투자신탁[주식],삼성운용,,,,42.14,113.35,31.23,,,,19.95,70.23,54.05,2등급(높은 위험),0.56,"5,600",679,20221110,,ETF,,,
